"a1","d","g","u","definition"
3.6495737914545,-2.55731041794701,0,1,"cajón"
2.79227789327787,-2.83999150082934,0,1,"calabaza"
2.96920894456157,0.0190116863620793,0,1,"calcetín"
2.90475078786504,-0.157268726645865,0,1,"caliente"
2.67070518168388,-1.75327312258124,0,1,"callar(se)"
2.88724944974346,0.615598614679022,0,1,"calle"
3.24428530548656,-0.41850960121511,0,1,"calzón"
4.85242088198101,0.763682101142486,0,1,"cama"
3.78685768849989,-3.68210327676463,0,1,"cámara"
2.90560359071852,-1.28481360797039,0,1,"caminar"
1.79300867082123,-2.85894790605755,0,1,"camión de bombero"
2.00024495829834,-1.55472299016083,0,1,"camión/troca"
3.76915814417481,-2.2738320046299,0,1,"camisa"
2.92583914038318,-3.77315495916629,0,1,"campo"
3.42045121359007,-3.80074852983413,0,1,"canasta"
3.27331794118698,-3.3555059277992,0,1,"cansado"
2.74434643730699,-0.977485273941072,0,1,"cantar"
3.79394822661027,-0.552055604123159,0,1,"cara"
3.15413498488367,-2.57031433946786,0,1,"cargar"
3.35540090683813,-0.0859269805442317,0,1,"carne"
2.10559044608109,-2.01048878571679,0,1,"carreola"
2.39904925827628,1.08164757541311,0,1,"carro/coche"
3.74046639171877,0.32473031094066,0,1,"casa"
2.88150242548378,-2.50569791982602,0,1,"cassette"
2.55922991392803,-3.81637236344427,0,1,"cebra"
3.23007724823385,-3.0065623142195,0,1,"cenar"
4.19616679067606,-0.467173120649205,0,1,"cepillo"
2.94190676573084,-1.20239907262133,0,1,"cepillo de dientes"
3.22047361790733,-5.21157203316753,0,1,"cerca"
2.11568215689795,-1.87434725721687,0,1,"cereal"
2.9472852876883,-2.26777069415218,0,1,"cerillos"
3.4978985013843,-1.86458622137464,0,1,"cerrar"
2.63442099109902,-3.97224564033142,0,1,"cerro"
3.13694215498506,-1.07078442816901,0,1,"champú"
2.46651937748761,-1.4932094210805,0,1,"chancla"
2.24826179258677,-4.39769246601011,0,1,"chaparro"
2.96506401142832,-3.00235180814513,0,1,"chícharo"
1.43043350233615,-0.344940344330452,0,1,"chichi/pecho"
2.65638782729051,-0.422558705683407,0,1,"chicle"
2.83271034321108,-2.76130445769642,0,1,"chico"
2.55979855975864,0.029489000034923,0,1,"chile"
2.93749083462522,-0.200789003607127,0,1,"chocolate"
1.95012280166816,-3.4084963443541,0,1,"chulo"
1.82171217079416,-0.908699984517958,0,1,"chupón/chupete"
3.36605264501304,-1.58122878198773,0,1,"cielo"
3.45117885579665,-4.14074085512186,0,1,"cierre"
2.65336013742054,-3.00849780154573,0,1,"cigarros"
2.78421914842817,-3.25096689839721,0,1,"cine"
2.74914629495594,-2.27816268169386,0,1,"circo"
2.90392859361707,-3.56855372047472,0,1,"clavo"
3.95701285743987,-1.54520016132447,0,1,"cobija"
2.53702940561332,-4.52834779217834,0,1,"cochera/garaje"
4.4479723859667,-2.13249097071647,0,1,"cocina"
3.36702675500801,-4.87801379231416,0,1,"cocinar"
2.52908934543507,-3.10810434615964,0,1,"cocodrilo"
2.77154723424276,-3.97276288272976,0,1,"coladera"
2.94965243385033,-3.16341865224254,0,1,"collar"
